Sector,Region,Year,GVA,Employment,Number of business sites
Creative Industries,Wales,2012,967.9483794268921,43,
Creative Industries,Wales,2013,901.509827902837,52,
Creative Industries,Wales,2014,965.9677806989574,51,5.34
Creative Industries,Wales,2015,966.000764820577,53,5.702
Creative Industries,Wales,2016,1056.4758321764066,52,
Creative Industries,Wales,2017,,62.548,
Creative Industries,West Midlands,2010,2621.998454475633,,
Creative Industries,West Midlands,2011,2615.4577055197674,80,
Creative Industries,West Midlands,2012,2522.8514236265232,95,
Creative Industries,West Midlands,2013,2710.0533755749184,96,
Creative Industries,West Midlands,2014,2774.709353704817,107,13.904
Creative Industries,West Midlands,2015,2958.9710532006156,111,14.885
Creative Industries,West Midlands,2016,3199.0700817550173,118,
Creative Industries,West Midlands,2017,,111,
Creative Industries,Yorkshire and The Humber,2010,2198.554171572448,,
Creative Industries,Yorkshire and The Humber,2011,2352.486054227219,82,
Creative Industries,Yorkshire and The Humber,2012,2381.8480927340083,83,
Creative Industries,Yorkshire and The Humber,2013,2395.7487931996493,97,
Creative Industries,Yorkshire and The Humber,2014,2284.639763890097,85,11.776
Creative Industries,Yorkshire and The Humber,2015,2432.022555993247,103,12.713
Creative Industries,Yorkshire and The Humber,2016,2571.828662412406,104,
Creative Industries,Yorkshire and The Humber,2017,,109,
Cultural Sector,East,2010,774.6779458685405,,
Cultural Sector,East,2011,777.7236564122754,,
Cultural Sector,East,2012,875.0762953896435,,
Cultural Sector,East,2013,767.5313272696649,,
Cultural Sector,East,2014,789.0047634986327,,5.359
Cultural Sector,East,2015,845.7386548952826,,5.648
Cultural Sector,East,2016,903.0710709892744,,
Cultural Sector,East,2017,,45,
Cultural Sector,East Midlands,2010,368.71799857929796,,
Cultural Sector,East Midlands,2011,414.1235145242611,,
Cultural Sector,East Midlands,2012,410.5185865503775,,
Cultural Sector,East Midlands,2013,382.88958916970836,,
Cultural Sector,East Midlands,2014,371.2833697375472,,2.206
Cultural Sector,East Midlands,2015,329.5376983355439,,2.329
Cultural Sector,East Midlands,2016,330.28127069636673,,
Cultural Sector,East Midlands,2017,,29,
Cultural Sector,London,2010,13372.112940535253,,
Cultural Sector,London,2011,13898.417047110215,,
Cultural Sector,London,2012,14688.959068384154,,
Cultural Sector,London,2013,15341.7722482907,,
Cultural Sector,London,2014,16284.855169363864,,29.516
Cultural Sector,London,2015,16959.248831306293,,30.812
Cultural Sector,London,2016,17878.332781708454,,
Cultural Sector,London,2017,,220,
Cultural Sector,North East,2010,185.37024893252175,,
Cultural Sector,North East,2011,210.04883123252608,,
Cultural Sector,North East,2012,259.90825146184244,,
Cultural Sector,North East,2013,250.48872351138104,,
Cultural Sector,North East,2014,236.57543901479178,,0.932
Cultural Sector,North East,2015,279.74811247771817,,0.987
Cultural Sector,North East,2016,266.4483855374916,,
Cultural Sector,North East,2017,,17,
Cultural Sector,North West,2010,840.4685818437241,,
Cultural Sector,North West,2011,934.996935857366,,
Cultural Sector,North West,2012,922.8924390236268,,
Cultural Sector,North West,2013,901.0692379106121,,
Cultural Sector,North West,2014,1040.720865661792,,3.915
Cultural Sector,North West,2015,1103.697218502855,,4.091
Cultural Sector,North West,2016,1004.1828785671196,,
Cultural Sector,North West,2017,,48,
Cultural Sector,Northern Ireland,2010,223.95389573927147,,
Cultural Sector,Northern Ireland,2011,260.2964619888821,,
Cultural Sector,Northern Ireland,2012,228.47156443251663,,
Cultural Sector,Northern Ireland,2013,222.97581766020377,,
Cultural Sector,Northern Ireland,2014,231.13529973587646,,0.736
Cultural Sector,Northern Ireland,2015,210.2379565755375,,0.775
Cultural Sector,Northern Ireland,2016,213.5860250927877,,
Cultural Sector,Northern Ireland,2017,,11,
Cultural Sector,Scotland,2010,851.8889468475163,,
Cultural Sector,Scotland,2011,924.2600313110134,,
Cultural Sector,Scotland,2012,933.4437701155624,,
Cultural Sector,Scotland,2013,1070.430146799739,,
Cultural Sector,Scotland,2014,1136.8775833706998,,2.908
Cultural Sector,Scotland,2015,1110.4453486539373,,3.067
Cultural Sector,Scotland,2016,1165.1857104428188,,
Cultural Sector,Scotland,2017,,50,
Cultural Sector,South East,2010,1998.9742473159333,,
Cultural Sector,South East,2011,1962.8896718662288,,
Cultural Sector,South East,2012,2082.288443040572,,
Cultural Sector,South East,2013,2154.6004115551086,,
Cultural Sector,South East,2014,2193.025294750259,,10.789
Cultural Sector,South East,2015,2419.4446693553195,,11.298
Cultural Sector,South East,2016,2563.690195958144,,
Cultural Sector,South East,2017,,91,
Cultural Sector,South West,2010,889.1653158814778,,
Cultural Sector,South West,2011,813.2345160268275,,
Cultural Sector,South West,2012,736.1870332714512,,
Cultural Sector,South West,2013,722.156738192115,,
Cultural Sector,South West,2014,765.301121435506,,5.003
Cultural Sector,South West,2015,843.7009417974474,,5.216
Cultural Sector,South West,2016,890.9188901943788,,
Cultural Sector,South West,2017,,56,
Cultural Sector,Wales,2010,362.72364854203124,,
Cultural Sector,Wales,2011,386.65906558532157,,
Cultural Sector,Wales,2012,414.71713605323936,,
Cultural Sector,Wales,2013,406.928338222506,,
Cultural Sector,Wales,2014,367.54607278981695,,1.664
Cultural Sector,Wales,2015,378.6076731960675,,1.78
Cultural Sector,Wales,2016,402.80894388361514,,
Cultural Sector,Wales,2017,,26,
Cultural Sector,West Midlands,2010,637.6368295293028,,
Cultural Sector,West Midlands,2011,637.2880331179008,,
Cultural Sector,West Midlands,2012,601.6035494890994,,
Cultural Sector,West Midlands,2013,602.6337881043297,,
Cultural Sector,West Midlands,2014,633.0121947441816,,2.658
